status_code,t,status,l
1,2019-01-07T02:40:24.000Z,TF,2019-01-08T00:35:27.452Z
2,2019-01-08T00:17:19.000Z,Registered,2019-01-08T06:35:26.888Z
1,2019-01-08T01:17:13.000Z,TF,2019-01-08T08:35:25.180Z
2,2019-01-08T01:17:13.000Z,Registered,2019-01-08T13:36:18.460Z
1,2019-01-08T01:17:13.000Z,TF,2019-01-08T22:35:23.233Z
2,2019-01-08T01:17:13.000Z,Registered,2019-01-08T01:17:13.000Z
1,2019-01-08T01:17:13.000Z,TF,2019-01-08T01:17:13.000Z
2,2019-01-09T00:31:50.000Z,Registered,2019-01-09T06:35:24.278Z
1,2019-01-09T00:31:50.000Z,TF,2019-01-09T08:35:24.612Z
2,2019-01-09T00:31:50.000Z,Registered,2019-01-09T00:31:50.000Z
1,2019-01-09T00:31:50.000Z,TF,2019-01-09T00:31:50.000Z
2,2019-01-09T00:31:50.000Z,Registered,2019-01-09T14:35:25.750Z
1,2019-01-09T00:31:50.000Z,TF,2019-01-09T19:36:06.973Z
1,2019-01-09T00:31:50.000Z,TF,2019-01-10T00:35:24.451Z
2,2019-01-10T00:35:46.000Z,Registered,2019-01-10T06:35:25.028Z
1,2019-01-10T03:55:47.000Z,TF,2019-01-10T09:36:32.414Z
2,2019-01-10T03:55:47.000Z,Registered,2019-01-10T11:36:21.217Z
1,2019-01-10T03:55:47.000Z,TF,2019-01-10T03:55:47.000Z
2,2019-01-10T03:55:47.000Z,Registered,2019-01-10T03:55:47.000Z
1,2019-01-10T03:55:47.000Z,TF,2019-01-10T20:35:24.076Z
1,2019-01-10T03:55:47.000Z,TF,2019-01-11T01:41:10.592Z
1,2019-01-11T01:16:44.000Z,TF,2019-01-12T01:40:58.741Z
2,2019-01-11T01:16:44.000Z,Registered,2019-01-11T06:35:24.118Z
1,2019-01-11T01:16:44.000Z,TF,2019-01-11T10:35:24.156Z
2,2019-01-11T01:16:44.000Z,Registered,2019-01-11T13:36:27.836Z
2,2019-01-12T01:34:45.000Z,Registered,2019-01-12T12:35:23.274Z
1,2019-01-12T01:58:40.000Z,TF,2019-01-13T02:35:40.048Z
2,2019-01-13T02:33:26.000Z,Registered,2019-01-13T11:36:36.771Z
1,2019-01-13T04:38:35.000Z,TF,2019-01-13T13:36:45.893Z
1,2019-01-13T04:38:35.000Z,TF,2019-01-14T00:35:29.792Z
2,2019-01-13T04:38:35.000Z,Registered,2019-01-13T04:38:35.000Z
1,2019-01-14T00:38:31.000Z,TF,2019-01-14T00:38:31.000Z
2,2019-01-14T00:38:31.000Z,Registered,2019-01-14T14:35:27.144Z
1,2019-01-14T00:38:31.000Z,TF,2019-01-14T23:38:35.910Z
2,2019-01-14T00:38:31.000Z,Registered,2019-01-15T06:38:44.214Z
2,2019-01-14T00:38:31.000Z,Registered,2019-01-14T09:36:58.329Z
1,2019-01-15T01:12:28.000Z,TF,2019-01-15T10:36:41.729Z
2,2019-01-15T01:12:28.000Z,Registered,2019-01-15T01:12:28.000Z
1,2019-01-15T01:12:28.000Z,TF,2019-01-15T14:36:17.675Z
2,2019-01-15T01:12:28.000Z,Registered,2019-01-15T16:36:47.747Z
1,2019-01-15T01:12:28.000Z,TF,2019-01-15T01:12:28.000Z
2,2019-01-15T17:35:36.000Z,Registered,2019-01-15T20:36:41.632Z
1,2019-01-15T17:51:29.000Z,TF,2019-01-15T23:35:47.895Z
2,2019-01-15T23:29:37.000Z,Registered,2019-01-16T09:35:33.850Z
1,2019-01-16T02:58:18.000Z,TF,2019-01-16T12:36:25.887Z
2,2019-01-16T02:58:18.000Z,Registered,2019-01-16T16:37:03.494Z
1,2019-01-16T02:58:18.000Z,TF,2019-01-16T18:37:02.882Z
2,2019-01-16T02:58:18.000Z,Registered,2019-01-16T20:36:47.096Z
1,2019-01-16T02:58:18.000Z,TF,2019-01-17T01:36:59.908Z
2,2019-01-17T01:20:03.000Z,Registered,2019-01-17T05:45:06.832Z
1,2019-01-17T01:52:21.000Z,TF,2019-01-17T23:35:53.302Z
2,2019-01-17T01:52:21.000Z,Registered,2019-01-17T21:35:37.433Z
1,2019-01-17T01:52:21.000Z,TF,2019-01-17T19:35:36.718Z
