,R1
0.0,176593
1.0,16518
21.0,5115
2.0,4517
18.0,4405
22.0,4137
19.0,3216
3.0,2694
4.0,2430
5.0,2161
6.0,2131
7.0,2086
42.0,1889
77.0,1863
78.0,1842
79.0,1798
8.0,1729
17.0,1636
30.0,1628
43.0,1608
31.0,1603
80.0,1597
76.0,1592
41.0,1592
29.0,1552
20.0,1509
9.0,1480
28.0,1451
10.0,1342
75.0,1273
81.0,1232
11.0,1229
23.0,1177
74.0,1175
27.0,1123
40.0,1122
32.0,1119
12.0,1113
44.0,1101
34.0,1038
16.0,1038
14.0,1005
13.0,992
61.0,975
33.0,973
35.0,971
15.0,962
36.0,958
60.0,958
62.0,950
73.0,950
63.0,947
24.0,930
26.0,904
82.0,896
59.0,886
37.0,869
72.0,866
25.0,855
58.0,843
64.0,839
65.0,793
39.0,771
38.0,758
57.0,756
71.0,743
70.0,734
66.0,723
69.0,712
45.0,709
83.0,698
55.0,685
67.0,676
87.0,656
56.0,652
54.0,652
91.0,650
89.0,649
68.0,645
90.0,639
86.0,638
53.0,638
84.0,637
85.0,632
46.0,632
88.0,625
47.0,621
52.0,617
94.0,609
93.0,609
92.0,588
97.0,586
51.0,580
95.0,579
96.0,575
50.0,566
99.0,562
49.0,556
98.0,540
48.0,528
101.0,507
100.0,499
103.0,490
102.0,479
109.0,456
112.0,453
106.0,445
104.0,439
108.0,435
105.0,422
107.0,421
115.0,416
110.0,398
113.0,392
116.0,384
117.0,377
119.0,371
111.0,368
114.0,366
118.0,347
121.0,341
120.0,335
124.0,334
229.0,331
230.0,330
233.0,316
231.0,307
122.0,307
232.0,306
125.0,305
123.0,301
228.0,289
234.0,288
129.0,287
126.0,287
127.0,284
128.0,283
130.0,279
227.0,276
140.0,269
226.0,261
133.0,260
224.0,258
135.0,257
142.0,257
147.0,256
139.0,253
225.0,253
136.0,252
145.0,249
236.0,248
146.0,247
134.0,242
138.0,241
149.0,240
235.0,236
131.0,235
132.0,235
249.0,235
141.0,234
137.0,233
143.0,232
221.0,232
144.0,230
155.0,227
151.0,226
152.0,224
153.0,224
156.0,224
148.0,222
222.0,221
150.0,218
247.0,216
237.0,214
245.0,214
157.0,214
154.0,214
158.0,212
165.0,212
223.0,210
243.0,207
160.0,207
162.0,206
166.0,206
171.0,205
218.0,205
163.0,205
240.0,204
170.0,203
242.0,201
241.0,201
175.0,199
159.0,199
238.0,198
244.0,197
219.0,197
217.0,196
220.0,195
167.0,195
176.0,195
173.0,193
161.0,191
248.0,190
164.0,187
246.0,186
174.0,185
168.0,185
251.0,180
180.0,178
179.0,178
239.0,175
185.0,174
178.0,174
250.0,170
216.0,167
172.0,166
169.0,164
186.0,162
214.0,162
183.0,161
182.0,160
184.0,157
177.0,156
253.0,154
188.0,154
252.0,154
254.0,153
194.0,152
193.0,152
187.0,150
181.0,145
210.0,144
215.0,144
256.0,143
198.0,138
191.0,137
211.0,136
209.0,136
189.0,134
195.0,132
200.0,131
190.0,131
196.0,131
213.0,130
203.0,127
197.0,127
258.0,126
255.0,125
205.0,124
202.0,123
212.0,122
204.0,120
208.0,117
201.0,117
257.0,115
263.0,112
192.0,111
206.0,107
207.0,106
262.0,105
199.0,104
259.0,104
264.0,102
266.0,101
260.0,99
270.0,98
261.0,96
269.0,94
268.0,94
267.0,93
273.0,90
272.0,89
340.0,88
337.0,86
338.0,84
271.0,83
299.0,82
265.0,81
281.0,81
343.0,81
326.0,81
331.0,79
335.0,79
275.0,78
328.0,78
280.0,76
330.0,76
336.0,76
287.0,75
291.0,75
352.0,75
283.0,75
334.0,75
278.0,74
298.0,73
297.0,73
312.0,73
324.0,72
332.0,72
274.0,72
329.0,72
345.0,72
341.0,71
325.0,71
380.0,71
327.0,71
351.0,71
314.0,70
279.0,70
320.0,70
289.0,70
375.0,69
344.0,69
277.0,69
319.0,68
313.0,68
318.0,67
346.0,67
339.0,67
373.0,66
342.0,66
322.0,66
372.0,66
354.0,65
349.0,65
357.0,65
302.0,64
315.0,64
311.0,64
309.0,63
358.0,63
286.0,63
276.0,62
333.0,62
384.0,62
317.0,62
292.0,62
366.0,62
348.0,62
323.0,61
310.0,61
398.0,61
301.0,61
321.0,61
383.0,61
307.0,60
369.0,60
347.0,60
282.0,60
367.0,60
293.0,60
434.0,60
306.0,59
368.0,59
284.0,59
304.0,59
353.0,58
305.0,58
316.0,57
303.0,57
355.0,57
363.0,57
359.0,57
350.0,57
448.0,56
308.0,56
364.0,55
285.0,55
382.0,55
450.0,54
356.0,54
360.0,53
295.0,53
288.0,53
378.0,53
370.0,53
294.0,53
290.0,53
361.0,52
385.0,52
296.0,52
377.0,52
381.0,51
300.0,51
376.0,50
387.0,50
391.0,49
444.0,49
371.0,49
362.0,48
389.0,48
437.0,48
440.0,48
435.0,47
388.0,47
379.0,47
386.0,47
399.0,47
400.0,46
423.0,46
418.0,46
365.0,46
419.0,46
436.0,45
422.0,45
455.0,45
374.0,45
390.0,45
429.0,45
458.0,44
452.0,44
445.0,44
454.0,44
395.0,44
406.0,43
426.0,43
401.0,43
428.0,42
424.0,42
438.0,42
449.0,42
414.0,42
433.0,42
408.0,41
425.0,41
441.0,41
393.0,41
403.0,41
407.0,40
446.0,40
456.0,39
410.0,39
415.0,39
462.0,39
411.0,39
443.0,39
416.0,38
431.0,38
442.0,38
473.0,38
417.0,38
404.0,38
451.0,37
478.0,37
439.0,37
509.0,37
505.0,37
468.0,37
405.0,37
474.0,36
465.0,36
499.0,36
479.0,36
421.0,36
394.0,36
413.0,36
487.0,35
871.0,35
409.0,35
420.0,35
470.0,35
427.0,35
494.0,35
397.0,35
510.0,35
482.0,35
906.0,34
508.0,34
432.0,34
885.0,34
471.0,33
512.0,33
402.0,33
480.0,33
484.0,33
578.0,33
533.0,33
472.0,33
921.0,33
869.0,33
914.0,33
392.0,33
507.0,32
529.0,32
476.0,32
519.0,32
949.0,32
396.0,32
552.0,31
460.0,31
486.0,31
579.0,31
457.0,31
891.0,31
412.0,31
782.0,31
621.0,31
933.0,31
467.0,31
514.0,31
501.0,31
573.0,31
619.0,30
959.0,30
612.0,30
847.0,30
931.0,30
877.0,30
956.0,30
466.0,30
566.0,30
506.0,30
430.0,30
544.0,30
453.0,30
900.0,30
937.0,29
447.0,29
627.0,29
990.0,29
498.0,29
571.0,29
469.0,29
703.0,29
868.0,29
537.0,29
483.0,29
464.0,29
887.0,29
955.0,29
567.0,29
953.0,29
602.0,28
459.0,28
563.0,28
926.0,28
528.0,28
502.0,28
925.0,28
488.0,28
497.0,28
500.0,28
532.0,28
475.0,28
492.0,28
853.0,28
565.0,28
844.0,27
463.0,27
875.0,27
461.0,27
950.0,27
511.0,27
558.0,27
574.0,27
515.0,27
944.0,27
904.0,27
622.0,27
600.0,27
562.0,27
987.0,26
569.0,26
958.0,26
575.0,26
866.0,26
845.0,26
521.0,26
882.0,26
496.0,26
598.0,26
517.0,26
490.0,26
522.0,26
854.0,26
590.0,26
864.0,26
615.0,26
481.0,26
784.0,26
920.0,25
503.0,25
954.0,25
849.0,25
543.0,25
978.0,25
716.0,25
530.0,25
540.0,25
715.0,25
894.0,25
589.0,25
2368.0,25
865.0,25
596.0,25
946.0,25
661.0,25
592.0,25
899.0,25
873.0,25
547.0,25
548.0,24
808.0,24
858.0,24
924.0,24
881.0,24
489.0,24
850.0,24
915.0,24
629.0,24
838.0,24
948.0,24
504.0,24
518.0,24
879.0,24
829.0,24
594.0,24
984.0,24
934.0,24
965.0,24
836.0,24
551.0,24
585.0,24
477.0,24
485.0,24
639.0,24
897.0,24
599.0,24
939.0,23
2457.0,23
947.0,23
580.0,23
557.0,23
2419.0,23
531.0,23
874.0,23
791.0,23
979.0,23
907.0,23
495.0,23
969.0,23
527.0,23
870.0,23
972.0,23
572.0,23
491.0,23
883.0,23
536.0,23
916.0,23
898.0,23
848.0,23
893.0,23
1010.0,23
631.0,23
524.0,23
611.0,23
535.0,23
943.0,23
827.0,23
710.0,23
630.0,22
923.0,22
586.0,22
918.0,22
560.0,22
561.0,22
797.0,22
981.0,22
542.0,22
689.0,22
576.0,22
892.0,22
648.0,22
810.0,22
856.0,22
832.0,22
520.0,22
719.0,22
842.0,22
825.0,22
538.0,22
783.0,22
550.0,22
913.0,22
635.0,22
872.0,22
753.0,22
2463.0,22
655.0,22
957.0,22
577.0,22
638.0,22
967.0,22
516.0,22
997.0,22
901.0,21
889.0,21
804.0,21
583.0,21
632.0,21
690.0,21
806.0,21
813.0,21
730.0,21
493.0,21
837.0,21
927.0,21
725.0,21
902.0,21
798.0,21
930.0,21
534.0,21
603.0,21
1070.0,21
2873.0,21
787.0,21
