start_date,end_date,R1a,R2a,R3a,R4a,R1i,R2i,R3i,R4i
2018-12-31T23:00:00.000Z,2019-01-31T23:00:00.000Z,212,0,0,5383,1,0,0,143
2019-01-31T23:00:00.000Z,2019-02-28T23:00:00.000Z,213,0,0,5510,0,0,0,126
2019-02-28T23:00:00.000Z,2019-03-31T22:00:00.000Z,213,0,0,5657,0,0,0,147
2019-03-31T22:00:00.000Z,2019-04-30T22:00:00.000Z,214,0,0,5804,0,0,0,146
2019-04-30T22:00:00.000Z,2019-05-31T22:00:00.000Z,214,0,0,5940,0,0,0,135
2019-05-31T22:00:00.000Z,2019-06-30T22:00:00.000Z,214,0,0,6067,0,0,0,126
2019-06-30T22:00:00.000Z,2019-07-31T22:00:00.000Z,215,0,0,6193,1,0,0,125
2019-08-31T22:00:00.000Z,2019-09-30T22:00:00.000Z,233,0,0,6361,8,0,0,65
2019-09-30T22:00:00.000Z,2019-10-31T23:00:00.000Z,234,0,0,6439,0,0,0,78
2019-10-31T23:00:00.000Z,2019-11-30T23:00:00.000Z,236,0,0,6510,1,0,0,70
2019-11-30T23:00:00.000Z,2019-12-31T23:00:00.000Z,238,0,0,6583,2,0,0,72
2019-12-31T23:00:00.000Z,2020-01-31T23:00:00.000Z,242,0,0,6653,3,0,0,70
2020-01-31T23:00:00.000Z,2020-02-29T23:00:00.000Z,243,0,0,6723,1,0,0,69
2020-02-29T23:00:00.000Z,2020-03-31T22:00:00.000Z,245,0,0,6796,1,0,0,73
2020-03-31T22:00:00.000Z,2020-04-30T22:00:00.000Z,246,0,0,6859,1,0,0,62
2020-04-30T22:00:00.000Z,2020-05-31T22:00:00.000Z,252,0,0,6908,5,0,0,48
2020-05-31T22:00:00.000Z,2020-06-30T22:00:00.000Z,267,0,0,6952,15,0,0,44
2020-06-30T22:00:00.000Z,2020-07-31T22:00:00.000Z,322,0,0,6979,54,0,0,27
2020-07-31T22:00:00.000Z,2020-08-31T22:00:00.000Z,333,0,0,7027,10,0,0,47
2020-08-31T22:00:00.000Z,2020-09-30T22:00:00.000Z,337,0,0,7076,3,0,0,48
2020-09-30T22:00:00.000Z,2020-10-31T23:00:00.000Z,339,0,0,7138,1,0,0,62
2020-10-31T23:00:00.000Z,2020-11-30T23:00:00.000Z,340,0,0,7204,1,0,0,65
2020-11-30T23:00:00.000Z,2020-12-31T23:00:00.000Z,343,0,0,7269,2,0,0,65
2020-12-31T23:00:00.000Z,2021-01-31T23:00:00.000Z,347,0,0,7342,4,0,0,72
2021-01-31T23:00:00.000Z,2021-02-28T23:00:00.000Z,348,0,0,7410,1,0,0,68
