timestamp,R1a,R2a,R3a,R4a
2019-05-31T22:00:00.000Z,214,0,0,5940
2019-06-01T22:00:00.000Z,214,0,0,5944
2019-06-02T22:00:00.000Z,214,0,0,5948
2019-06-03T22:00:00.000Z,214,0,0,5952
2019-06-04T22:00:00.000Z,214,0,0,5955
2019-06-05T22:00:00.000Z,214,0,0,5959
2019-06-06T22:00:00.000Z,214,0,0,5963
2019-06-07T22:00:00.000Z,214,0,0,5967
2019-06-08T22:00:00.000Z,214,0,0,5971
2019-06-09T22:00:00.000Z,214,0,0,5975
2019-06-10T22:00:00.000Z,214,0,0,5980
2019-06-11T22:00:00.000Z,214,0,0,5984
2019-06-12T22:00:00.000Z,214,0,0,5989
2019-06-13T22:00:00.000Z,214,0,0,5993
2019-06-14T22:00:00.000Z,214,0,0,5998
2019-06-15T22:00:00.000Z,214,0,0,6002
2019-06-16T22:00:00.000Z,214,0,0,6007
2019-06-17T22:00:00.000Z,214,0,0,6012
2019-06-18T22:00:00.000Z,214,0,0,6016
2019-06-19T22:00:00.000Z,214,0,0,6021
2019-06-20T22:00:00.000Z,214,0,0,6025
2019-06-21T22:00:00.000Z,214,0,0,6029
2019-06-22T22:00:00.000Z,214,0,0,6033
2019-06-23T22:00:00.000Z,214,0,0,6037
2019-06-24T22:00:00.000Z,214,0,0,6042
2019-06-25T22:00:00.000Z,214,0,0,6046
2019-06-26T22:00:00.000Z,214,0,0,6050
2019-06-27T22:00:00.000Z,214,0,0,6054
2019-06-28T22:00:00.000Z,214,0,0,6058
2019-06-29T22:00:00.000Z,214,0,0,6062
2019-06-30T22:00:00.000Z,214,0,0,6067
2019-07-01T22:00:00.000Z,214,0,0,6071
2019-07-02T22:00:00.000Z,214,0,0,6076
2019-07-06T22:00:00.000Z,214,0,0,6093
2019-07-07T22:00:00.000Z,214,0,0,6098
2019-07-08T22:00:00.000Z,214,0,0,6102
2019-07-09T22:00:00.000Z,214,0,0,6106
2019-07-10T22:00:00.000Z,214,0,0,6110
2019-07-13T22:00:00.000Z,215,0,0,6122
2019-07-14T22:00:00.000Z,215,0,0,6126
2019-07-15T22:00:00.000Z,215,0,0,6130
2019-07-17T22:00:00.000Z,215,0,0,6139
2019-07-18T22:00:00.000Z,215,0,0,6143
2019-07-19T22:00:00.000Z,215,0,0,6147
2019-07-20T22:00:00.000Z,215,0,0,6150
2019-07-21T22:00:00.000Z,215,0,0,6154
2019-07-22T22:00:00.000Z,215,0,0,6158
2019-07-23T22:00:00.000Z,215,0,0,6161
2019-07-24T22:00:00.000Z,215,0,0,6164
2019-07-26T22:00:00.000Z,215,0,0,6172
2019-07-27T22:00:00.000Z,215,0,0,6176
2019-07-28T22:00:00.000Z,215,0,0,6181
2019-07-29T22:00:00.000Z,215,0,0,6185
2019-07-30T22:00:00.000Z,215,0,0,6189
2019-07-31T22:00:00.000Z,215,0,0,6193
2019-08-01T22:00:00.000Z,215,0,0,6196
2019-08-03T22:00:00.000Z,215,0,0,6204
2019-08-04T22:00:00.000Z,215,0,0,6208
2019-08-05T22:00:00.000Z,215,0,0,6212
2019-08-07T22:00:00.000Z,215,0,0,6220
2019-08-08T22:00:00.000Z,216,0,0,6223
2019-08-09T22:00:00.000Z,216,0,0,6227
2019-08-10T22:00:00.000Z,216,0,0,6231
2019-08-11T22:00:00.000Z,216,0,0,6235
2019-08-12T22:00:00.000Z,216,0,0,6239
2019-08-13T22:00:00.000Z,216,0,0,6243
2019-08-16T22:00:00.000Z,216,0,0,6253
2019-08-17T22:00:00.000Z,217,0,0,6256
2019-08-18T22:00:00.000Z,217,0,0,6260
2019-08-19T22:00:00.000Z,217,0,0,6263
2019-08-20T22:00:00.000Z,217,0,0,6267
