date,average_temperature,lowest_temperature,highest_temperature
2019-05-01,21.4,14.0,28.8
2019-05-02,20.8,13.4,28.2
2019-05-03,19.2,15.4,23.1
2019-05-04,19.2,16.0,22.3
2019-05-05,18.3,15.4,21.2
2019-05-06,17.2,13.6,20.8
2019-05-07,17.6,11.3,23.8
2019-05-08,19.4,16.0,22.8
2019-05-09,20.2,16.8,23.6
2019-05-10,20.2,14.4,26.0
2019-05-11,24.6,16.6,32.7
2019-05-12,25.2,19.7,30.6
2019-05-13,23.6,16.1,31.1
2019-05-14,23.6,18.5,28.8
2019-05-15,21.0,14.0,28.0
2019-05-16,21.2,17.4,25.0
2019-05-17,17.8,13.4,22.3
2019-05-18,17.9,13.9,21.9
2019-05-19,18.8,15.4,22.2
2019-05-20,19.6,14.6,24.6
2019-05-21,19.8,15.6,24.0
2019-05-22,20.4,13.9,27.0
2019-05-23,21.9,14.8,29.0
2019-05-24,20.3,16.0,24.6
2019-05-25,21.8,17.7,25.8
2019-05-26,22.5,16.0,29.0
2019-05-27,22.0,14.5,29.5
2019-05-28,23.4,18.0,28.7
2019-05-29,24.8,18.0,31.5
2019-05-30,23.9,18.4,29.4
2019-05-31,23.6,16.5,30.6
2019-06-01,24.8,17.6,32.1
2019-06-02,24.8,16.2,33.5
2019-06-03,23.5,15.4,31.6
2019-06-04,20.8,16.1,25.6
2019-06-05,19.5,16.0,23.0
2019-06-06,19.0,14.7,23.2
2019-06-07,20.4,16.7,24.2
2019-06-08,19.3,12.6,26.0
2019-06-09,21.2,17.4,25.0
2019-06-10,20.4,16.3,24.6
2019-06-11,19.4,15.0,23.8
2019-06-12,21.6,14.8,28.5
2019-06-13,21.0,16.3,25.8
2019-06-14,19.2,15.9,22.5
2019-06-15,19.8,14.6,25.0
2019-06-16,19.4,13.6,25.1
2019-06-17,18.6,12.5,24.6
2019-06-18,20.2,16.0,24.5
2019-06-19,22.0,18.0,26.0
2019-06-20,21.6,18.1,25.0
2019-06-21,20.2,16.5,24.0
2019-06-22,20.8,15.9,25.6
2019-06-23,22.0,17.3,26.7
2019-06-24,22.8,19.2,26.4
2019-06-25,22.8,18.6,26.9
2019-06-26,23.2,19.0,27.5
2019-06-27,22.2,17.2,27.3
2019-06-28,24.8,18.0,31.5
2019-06-29,24.2,20.0,28.3
2019-06-30,23.2,20.9,25.5
2019-07-01,23.2,20.2,26.2
2019-07-02,22.5,19.5,25.5
